Все слова - 101312: 
нея : 17 : нее
связь : 17 : связь
между : 12 : между
пара : 17 : парой
тем : 13 : тем
сеть : 17 : сети
всегда : 9 : всегда
двусторонний : 18 : двусторонняя
однако : 15 : однако
связь : 17 : связь
от : 12 : от
первый : 18 : первой
тема : 17 : темы
к : 12 : ко
втора : 17 : второй
не : 14 : не
всегда : 9 : всегда
имею : 20 : имеет
тот : 31 : тот
же : 13 : же
самый : 18 : самый
вес : 17 : вес
что : 13 : что
и : 13 : и
обратный : 18 : обратная
от : 12 : от
втора : 17 : второй
к : 12 : к
первый : 18 : первой
такой : 18 : такое
различие : 17 : различие
в : 12 : в
вес : 17 : весах
может : 13 : может
указывать : 21 : указывать
